Station,date,Rain,AirTemperature,AtmosphericPressure,Windspeed
M2,5/1/2019 0:00,0,9.6,1019.1,2.01
M2,5/1/2019 1:00,0,8.7,1019.1,4.24
M2,5/1/2019 2:00,0,7.6,1018.6,15.1
M2,5/1/2019 3:00,0,7.3,1018.5,9.33
M2,5/1/2019 4:00,0,7.5,1018.5,9.1
M2,5/1/2019 5:00,0,7.6,1018.6,9
M2,5/1/2019 6:00,0,7.5,1018.7,11.13
M2,5/1/2019 7:00,0,7.8,1018.8,15
M2,5/1/2019 8:00,0,9.7,1019,19.63
M2,5/1/2019 9:00,0,11.3,1019,19.01
M2,5/1/2019 10:00,0,12.3,1019.1,17.1
M2,5/1/2019 11:00,0,13.5,1018.9,15
M2,5/1/2019 12:00,0,13.7,1018.4,15
M2,5/1/2019 13:00,0,14.2,1018.1,11
M2,5/1/2019 14:00,0,15.7,1017.9,15
M2,5/1/2019 15:00,0,15.5,1017.5,13
M2,5/1/2019 16:00,0,13.7,1017.6,17
M2,5/1/2019 17:00,0,13.5,1017.5,20.01
M2,5/1/2019 18:00,0,12.5,1017.6,13.28
M2,5/1/2019 19:00,0,11.1,1017.8,22.5
M2,5/1/2019 20:00,0,10.1,1017.9,22.1
M2,5/1/2019 21:00,0,8.9,1018.2,11.4
M2,5/1/2019 22:00,0,8.3,1018.2,20.02
M2,5/1/2019 23:00,0,8.7,1017.8,20.1
M2,5/2/2019 0:00,0,8.7,1017.8,20.01
M2,5/2/2019 1:00,0,8.9,1017.4,20
M2,5/2/2019 2:00,0,8.9,1017,19
M2,5/2/2019 3:00,0.1,8.5,1016.7,22.2
M2,5/2/2019 4:00,0.2,8.4,1016.4,22.2
M2,5/2/2019 5:00,0,8.4,1016.3,20.3
M2,5/2/2019 6:00,0,8.6,1016.5,20.5
M2,5/2/2019 7:00,0,9,1016.4,20.12
M2,5/2/2019 8:00,0,9.9,1016.5,22.1
M2,5/2/2019 9:00,0,10.3,1016.5,24.31
M2,5/2/2019 10:00,0,11.2,1016.4,22.1
